2017-05-29 19:04:42,088 INFO  [org.jboss.modules] (main) JBoss Modules version 1.5.1.Final-redhat-1
2017-05-29 19:04:42,229 INFO  [org.jboss.msc] (main) JBoss MSC version 1.2.6.Final-redhat-1
2017-05-29 19:04:42,260 INFO  [org.jboss.as] (MSC service thread 1-7) WFLYSRV0049: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) starting
2017-05-29 19:04:42,759 INFO  [org.xnio] (MSC service thread 1-3) XNIO version 3.3.6.Final-redhat-1
2017-05-29 19:04:42,775 INFO  [org.xnio.nio] (MSC service thread 1-3) XNIO NIO Implementation Version 3.3.6.Final-redhat-1
2017-05-29 19:04:43,009 INFO  [org.jboss.remoting] (MSC service thread 1-3) JBoss Remoting version 4.0.18.Final-redhat-1
2017-05-29 19:04:43,040 INFO  [org.jboss.as.remoting] (MSC service thread 1-2) WFLYRMT0001: Listening on 0.0.0.0:10999
2017-05-29 19:04:45,005 INFO  [org.jboss.as.controller.management-deprecated] (Host Controller Service Threads - 5) WFLYCTL0028: Attribute 'max-permgen-size' in the resource at address '/server-group=primary-server-group/jvm=default' is deprecated, and may be removed in future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.
2017-05-29 19:04:45,068 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0148: Connected to master host controller at remote://127.0.0.1:9999
2017-05-29 19:04:45,115 INFO  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0023: Starting server Server11
2017-05-29 19:04:45,115 WARN  [org.jboss.as.host.controller] (Controller Boot Thread) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-05-29 19:04:45,146 WARN  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0011: Ignoring <permgen> for jvm 'SUN' type jvm: default
2017-05-29 19:04:46,819 INFO  [org.jboss.as.host.controller] (management task-1) WFLYHC0021: Server [Server:Server11] connected using connection [Channel ID 251a5871 (inbound) of Remoting connection 66810283 to /192.168.0.140:50640]
2017-05-29 19:04:46,881 INFO  [org.jboss.as.host.controller] (server-registration-threads - 1) WFLYHC0020: Registering server Server11
2017-05-29 19:04:46,897 INFO  [org.jboss.as] (Controller Boot Thread) WFLYSRV0025: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) (Host Controller) started in 5121ms - Started 43 of 44 services (13 services are lazy, passive or on-demand)
2017-05-29 19:24:36,870 INFO  [org.jboss.as.host.controller] (management task-3) WFLYHC0029: Unregistered at domain controller
2017-05-29 19:24:36,870 INFO  [org.jboss.as.host.controller] (Host Controller Service Threads - 10) WFLYHC0024: Stopping server Server11
2017-05-29 19:24:37,120 INFO  [org.jboss.as.host.controller] (management I/O-2) WFLYHC0027: Unregistering server Server11
2017-05-29 19:24:37,728 INFO  [org.jboss.as.host.controller] (ProcessControllerConnection-thread - 2) WFLYHC0027: Unregistering server Server11
2017-05-29 19:24:37,743 INFO  [org.jboss.as] (MSC service thread 1-5) WFLYSRV0050: JBoss EAP 7.0.0.GA (WildFly Core 2.1.2.Final-redhat-1) stopped in 904ms
